GT0001-A C Silvers
GT0003-T Narayana Chetty
GT0007-Rash E & D (CHN)
GT0010-Gipsy Management PL
GT0012-J Ranjeet Jewellers 
GT0014-Kamadhenu Jewellers
GT0018-Sunku Balaram
GT0019-Mahaveer Jewellers
GT0020-Mahesh Hardware PPL
GT0021-Maruti Jewellers
GT0022-R K Medisurg
GT0023-Rakesh Enterprises
GT0024-Fresh Papiers IPL
GT0026-Screen Land PIPL
GT0027-South India Distrib
GT0028-Supreme Comp IPL
GT0029-Amar & Company
GT0031-Enfield Tiles
GT0032-Virani International
GT0034-Arihant Metal Work
GT0036-Vamos Digital
GT0037-Balaji Gems
GT0038-Bayshore Plastics PL
GT0039-Sidhi Vinayaga EPL
GT0040-East West Exp & Imp
GT0041-Dhanalakshmi Candles
GT0044-G Chamundeswari
GT0045-Fairway Constrns PL
GT0046-Modi Brothers
GT0049-J J Traders
GT0050-Jai Mathaji Jewelers
GT0052-K K Jewellers
GT0055-Maharaja Gold Palace
GT0056-Shree Roadlines
GT0058-Standard HMC
GT0065-R G Decors
GT0069-Navrathna JC
GT0070-Parivaar Fashions
GT0071-100% Materials
GT0072-Push Logistics & WPL
GT0073-M Ramakrishna GPPL
GT0075-Ranveer Electricals
GT0076-Right Tight FPL
GT0078-Wallpaper & DI
GT0079-Sharp Medical SPL
GT0080-Vikash Fashion CPL
GT0082-Sri Mathaji Jewelers
GT0083-Sri Paramatma Jewel
GT0084-Sri Vaishnavi Enterp
GT0085-Subhash Jewellers
GT0088-Burma Paper Agencies
"GT0089-R Champalal & Co ,"
GT0092-Virani Lables 
GT0094-Apex Links
GT0097-Envisage
GT0098-Kandan Metal Corp
GT0104-S M B Creations
GT0105-Satisfaction
GT0107-Ruby Overseas
GT0109-Venkateshwara Tex
GT0110-Venkateswara Enterp
GT0111-Varsha Construction
GT0113-Mahlaksmi Jewellery
GT0120-Best Source Infotech
GT0121-Ram & Rao Company
GT0123-Shree Namo Arts
GT0125-Jaimant Gold House
GT0129-Barry & Clark (I)
GT0131-Shankar Praveen Barathan
GT0136-RAA Enterprises
GT0147-Standard Asyrs & HMC
GT0157-Fluid Valve Co
GT0158-Nikita Marketing
GT0160-S. J. Thanga Maligai
GT0162-Tulsi Jewellery
GT0163-Shubham Metals
GT0166-Kwality Plywood
GT0168-BC Rider Coll (I)
GT0169-Prime Associates
GT0171-Gurudev Electricals
GT0172-P V Powlose Trans
GT0173-S S Light House
GT0176-Dev Grp of Jewellery
GT0177-Klassic Plywood
GT0178-Thaker Brothers
GT0179-Kitchen Innovation
GT0181-Rakhiwala
GT0182-Arihant Interbuild
GT0184-Lakshmi Jewellerss
GT0185-Prakash Jewellers
GT0186-P.V.P. Transport
GT0187-Rajshiv Marketing
GT0189-Kreative Enterprise
GT0193-Purab Jewellers
GT0194-K. R. Jewellers
GT0195-P. R. Jewellers
GT0196-Vadilal Jewels
GT0197-Divya Agency
GT0198-Harshal Prntg Packg
GT0199-N Pack
GT0200-The HPPL
GT0201-Sound Land
GT0202-Sound and Lights
OF0100-M J Munoth & Co
